Timestamp;"Coopeguanacaste.Casa_Chameleon
Voltage A-B Mean
(V)";"Coopeguanacaste.Casa_Chameleon
Voltage B-C Mean
(V)";"Coopeguanacaste.Casa_Chameleon
Voltage C-A Mean
(V)";"Coopeguanacaste.CCSS_Hojancha
Voltage A-B Mean
(V)";"Coopeguanacaste.CCSS_Hojancha
Voltage B-C Mean
(V)";"Coopeguanacaste.CCSS_Hojancha
Voltage C-A Mean
(V)";"Coopeguanacaste.Coopecompro_El_Coco
Voltage A-B Mean
(V)";"Coopeguanacaste.Coopecompro_El_Coco
Voltage B-C Mean
(V)";"Coopeguanacaste.Coopecompro_El_Coco
Voltage C-A Mean
(V)";"Coopeguanacaste.Hotel_Westin
Voltage A-B Mean
(V)";"Coopeguanacaste.Hotel_Westin
Voltage B-C Mean
(V)";"Coopeguanacaste.Hotel_Westin
Voltage C-A Mean
(V)";"Coopeguanacaste.JUANILAMA_PRINCIPAL
Voltage A-B Mean
(V)";"Coopeguanacaste.JUANILAMA_PRINCIPAL
Voltage B-C Mean
(V)";"Coopeguanacaste.JUANILAMA_PRINCIPAL
Voltage C-A Mean
(V)";"Coopeguanacaste.KFC_NICOYA
Voltage A-B Mean
(V)";"Coopeguanacaste.KFC_NICOYA
Voltage B-C Mean
(V)";"Coopeguanacaste.KFC_NICOYA
Voltage C-A Mean
(V)";"Coopeguanacaste.Melonera_del_Monte
Voltage A-B Mean
(V)";"Coopeguanacaste.Melonera_del_Monte
Voltage B-C Mean
(V)";"Coopeguanacaste.Melonera_del_Monte
Voltage C-A Mean
(V)";"Coopeguanacaste.Occidental_Tamarindo
Voltage A-B Mean
(V)";"Coopeguanacaste.Occidental_Tamarindo
Voltage B-C Mean
(V)";"Coopeguanacaste.Occidental_Tamarindo
Voltage C-A Mean
(V)";"Coopeguanacaste.Torre_Hospital_Anexion
Voltage A-B Mean
(V)";"Coopeguanacaste.Torre_Hospital_Anexion
Voltage B-C Mean
(V)";"Coopeguanacaste.Torre_Hospital_Anexion
Voltage C-A Mean
(V)"
1/1/2020 00:15:00;;;;;;;;;;;;;25960,64063;25999,83789;26106,13281;;;;;;;;;;;;
1/1/2020 00:30:00;;;;;;;;;;;;;25953,05469;25994,43359;26090,96289;;;;;;;;;;;;
1/1/2020 00:45:00;;;;;;;;;;;;;25961,33789;26001,94531;26104,25195;;;;;;;;;;;;
1/1/2020 01:00:00;;;;;;;;;;;;;25960,86719;26005,7207;26099,48828;;;;;;;;;;;;
1/1/2020 01:15:00;;;;;;;;;;;;;25966,04297;26005,91797;26101,8457;;;;;;;;;;;;
1/1/2020 01:30:00;;;;;;;;;;;;;25970,07422;26002,77539;26115,69336;;;;;;;;;;;;
1/1/2020 01:45:00;;;;;;;;;;;;;25981,44531;26012,72266;26127,69141;;;;;;;;;;;;
1/1/2020 02:00:00;;;;;;;;;;;;;25986,04297;26026,07813;26137,83203;;;;;;;;;;;;
1/1/2020 02:15:00;;;;;;;;;;;;;25997,94922;26036,85156;26147,0293;;;;;;;;;;;;
1/1/2020 02:30:00;;;;;;;;;;;;;26016,48047;26049,40234;26157,82031;;;;;;;;;;;;
1/1/2020 02:45:00;;;;;;;;;;;;;26015,61133;26058,38672;26159,3125;;;;;;;;;;;;
1/1/2020 03:00:00;;;;;;;;;;;;;26033,40625;26071,86719;26175,33594;;;;;;;;;;;;
1/1/2020 03:15:00;;;;;;;;;;;;;26048,37305;26086,05273;26193,85742;;;;;;;;;;;;
1/1/2020 03:30:00;;;;;;;;;;;;;26047,88867;26090,98242;26197,79297;;;;;;;;;;;;
1/1/2020 03:45:00;;;;;;;;;;;;;26057,02148;26101,27539;26204,98828;;;;;;;;;;;;
1/1/2020 04:00:00;;;;;;;;;;;;;26056,48633;26108,17383;26208,22656;;;;;;;;;;;;
1/1/2020 04:15:00;;;;;;;;;;;;;26061,60742;26100,02734;26209,43945;;;;;;;;;;;;
1/1/2020 04:30:00;;;;;;;;;;;;;26062,38867;26099,27734;26205,85938;;;;;;;;;;;;
